"filename", "language", "PHP", "MS SQL", "XML", "JavaScript", "Markdown", "CSS", "JSON", "YAML", "HTML", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\xampp\htdocs\bolsaEmpleo\.idea\bolsaEmpleo.iml", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\xampp\htdocs\bolsaEmpleo\.idea\dataSources.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\bolsaEmpleo\.idea\material_theme_project_new.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\bolsaEmpleo\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\bolsaEmpleo\.idea\php.xml", "XML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\bolsaEmpleo\.idea\sqldialects.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\bolsaEmpleo\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\bolsaEmpleo\BD-mysql\BDMUNDOEMPLEOSCA.sql", "MS SQL", 0, 1547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 484, 233, 2264
"c:\xampp\htdocs\bolsaEmpleo\BD-mysql\OfertasTrabajo.sql", "MS SQL", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\xampp\htdocs\bolsaEmpleo\BD-mysql\SoportePeruDepartamentos.sql", "MS SQL", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\bolsaEmpleo\BD\Conexion.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"c:\xampp\htdocs\bolsaEmpleo\BD\Consultas.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51, 129
